Job Title,Link,Remote Testing,Adaptive/IRT,Test Type,Duration,Description
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes,No,"A, B",45,"45The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace. This solution measures a candidate’s mechanical comprehension abilities and general tendency to behave safely and efficiently in the workplace. This solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and mechanical comprehension. The Manufacturing Skilled Maintenance solution is designed for selection to job titles, such as: Industrial Machinery Mechanic, Automotive Service Technician, Small Engine Mechanic, Mobile Equipment Service Technician, and Diesel Service Technician."
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,Yes,No,B,16,"16Our Workplace Safety - Individual 7.0 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining. Report Language Availability: English (USA), Latin American Spanish."
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,Yes,No,B,16,"16Our Workplace Safety - Individual 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance with more individually-oriented roles or work environments. The solution assesses behaviors and competencies foundational to safety across a wide range of jobs, including: following policies and procedures; wearing required protective equipment; safely operating vehicles and/or machinery; taking action in unsafe situations; and producing high quality work. 
Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining."
,,No,No,,,
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,K,7,"7Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety."
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,P,10,"10The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase"
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,Yes,No,K,10,"10Multi-choice test that measures the knowledge of fire engineering principles, basic workplace safety and safety management."
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,P,16,"16The Manufacturing & Industrial Safety & Dependability Focus 8.0 Job-Focused Assessment 
measures the behaviors that underlie safe performance in a work setting. This solution 
assesses foundational behaviors including behaving safely in the workplace; complying with 
rules and regulations; applying domain-related expertise; and attending to multiple tasks.
Potential job titles that use this solution include: Machine and Equipment Operators, 
Laborers/Warehouse Workers, Assemblers & Fitters, Maintenance/Repair Workers, 
Dispatchers, Surveillance, Quality Assurance Workers, Material Handlers, and Truck/Ship 
Loaders"
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,K,12,"12Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy."
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,K,16,"16Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy."
Workplace Health and Safety (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new/,Yes,No,K,9,"9Multi-choice test that measures the knowledge of first aid, emergency safety measures, cleanliness and personal hygiene."
